Date,Team,Acquired,Relinquished,Notes
2023-11-03,Falcons,,• Jessie Bates III,"fined $21,855 by NFL for impermissible use of the helmet"
2023-11-03,Giants,,• Graham Gano,placed on IR with surgery on left knee
2023-11-03,Jaguars,,• Adam Gotsis,"fined $7,167 by NFL for roughing the passer"
2023-11-03,Jets,,• Jermaine Johnson II,"fined $10,927 by NFL for roughing the passer"
2023-11-03,Jets,,• Quincy Williams,"fined $13,333 by NFL for unnecessary roughness"
2023-11-03,Jets,,• Quincy Williams,"fined $11,473 by NFL for unnecessary roughness"
2023-11-03,Lions,,• Jack Campbell (b. 2000-08-22),"fined $14,871 by NFL for roughing the passer"
2023-11-03,Lions,,• Jerry Jacobs (b. 1997-09-26),"fined $5,229 by NFL for low hit"
2023-11-03,Packers,,• Kingsley Enagbare,"fined $5,170 by NFL for roughing the passer"
2023-11-03,Panthers,,• Claudin Cherelus,placed on IR with knee injury
2023-11-03,Patriots,,• Calvin Anderson,placed on IR with illness
2023-11-03,Ravens,,• Patrick Ricard,"fined $21,694 by NFL for blindside block"
2023-11-03,Saints,,• Carl Granderson,"fined $10,927 by NFL for facemask"
2023-11-03,Seahawks,,• Mario Edwards Jr.,"fined $7,319 by NFL for roughing the passer"
2023-11-03,Steelers,,• Cole Holcomb,surgery on knee (out for season)
2023-11-03,Steelers,,• Damontae Kazee,"fined $11,806 by NFL for hit to a defenseless receiver"
2023-11-03,Steelers,,• Damontae Kazee,"fined $11,806 by NFL for impermissible use of the helmet"
2023-11-03,Steelers,,• T.J. Watt,"fined $16,391 by NFL for roughing the passer"
2023-11-03,Texans,,• Jonathan Greenard,"fined $7,649 by NFL for unnecessary roughness"
2023-11-03,Titans,,• Harold Landry III,"fined $16,391 by NFL for roughing the passer"
2023-11-03,Titans,,• Harold Landry III,"fined $16,391 by NFL for roughing the passer"
2023-11-03,Vikings,,• D.J. Wonnum,"fined $16,282 by NFL for roughing the passer"
2023-11-03,Washington,,• Logan Thomas,"fined $10,927 by NFL for crackback block"
2023-11-04,,• Martavis Bryant,,reinstated from suspension
2023-11-04,Bears,• Braxton Jones,,activated from IR
2023-11-04,Dolphins,• Terron Armstead,,activated from IR
2023-11-04,Giants,,• Darren Waller,placed on IR with hamstring injury
2023-11-04,Giants,,• Tyrod Taylor,placed on IR with rib injury
2023-11-04,Panthers,,• Justin Houston,placed on IR with hamstring injury
2023-11-04,Ravens,• Daryl Worley,,activated from IR
2023-11-04,Vikings,• Jalen Nailor,,activated from IR
2023-11-05,Steelers,,• Diontae Johnson,"fined $25,000 by NFL for criticizing officials"
2023-11-06,Chargers,,• Joshua Palmer / Josh Palmer,placed on IR with knee injury
2023-11-06,Chargers,• Jalen Guyton,,activated from reserve/physically unable to perform list
2023-11-06,Chargers,• Otito Ogbonnia,,activated from reserve/physically unable to perform list
2023-11-06,Giants,,• Daniel Jones,torn ACL in right knee (out for season)
2023-11-06,Panthers,,• Tarik Cohen,placed on practice squad IR with undisclosed injury
2023-11-06,Seahawks,,• Drake Thomas,placed on IR with knee injury
2023-11-06,Seahawks,• Austin Faoliu,,activated from reserve/physically unable to perform list
2023-11-06,Steelers,,• Cole Holcomb,placed on IR with surgery on knee (out for season)
2023-11-06,Steelers,• Anthony McFarland Jr.,,activated from IR
2023-11-06,Vikings,,• Cam Akers,torn left Achilles tendon (out for season)
2023-11-07,,• Damien Wilson,,reinstated from suspension
2023-11-07,Bills,,• Kameron Cline,placed on practice squad IR with undisclosed injury
2023-11-07,Browns,,• Cameron Mitchell,placed on IR with hamstring / shoulder injury
2023-11-07,Browns,,• Jedrick Wills Jr.,placed on IR with sprained MCL in knee
2023-11-07,Cardinals,,• Bobby Price,placed on IR with undisclosed
2023-11-07,Cardinals,• Kyler Murray,,activated from reserve/physically unable to perform list
2023-11-07,Commanders,,• Ricky Stromberg,placed on IR with knee injury
2023-11-07,Panthers,,• Chandler Wooten,placed on IR with ankle injury
2023-11-07,Panthers,,• Luiji Vilain,placed on IR with knee injury
2023-11-07,Texans,,• Hassan Ridgeway,placed on IR with torn right Achilles tendon (out for season)
2023-11-07,Texans,,• M.J. Stewart,placed on IR with shoulder injury
2023-11-08,Giants,,• Daniel Jones,placed on IR with torn ACL in right knee
2023-11-08,Vikings,,• Cam Akers,placed on IR with torn left Achilles tendon
2023-11-09,Bears,• Equanimeous St. Brown,,activated from IR
2023-11-09,Bears,• Josh Blackwell,,activated from IR
2023-11-09,Panthers,• Marquis Haynes,,activated from IR
2023-11-10,Bengals,,• Cordell Volson,"fined $5,746 by NFL for late hit"
2023-11-10,Bills,,• Josh Allen (David),"fined $10,927 by NFL for taunting"
2023-11-10,Browns,,• Grant Delpit,"fined $10,927 by NFL for taunting"
2023-11-10,Buccaneers,,• Joe Tryon-Shoyinka / Joe Tryon,"fined $10,927 by NFL for unsportsmanlike conduct"
2023-11-10,Buccaneers,,• Lavonte David,"fined $13,659 by NFL for unsportsmanlike conduct"
2023-11-10,Cardinals,,• D.J. Humphries,"fined $16,391 by NFL for low block"
2023-11-10,Chargers,,• Joey Bosa,"fined $16,391 by NFL for roughing the passer"
2023-11-10,Commanders,,• Samuel Cosmi / Sam Cosmi,"fined $10,039 by NFL for impermissible use of the helmet"
2023-11-10,Dolphins,,• Alec Ingold,"fined $14,333 by NFL for unnecessary roughness"
2023-11-10,Falcons,,• DeAundre Alford / Dee Alford,"fined $4,853 by NFL for hit to a defenseless player"
2023-11-10,Packers,,• Rashan Gary,"fined $10,927 by NFL for facemask"
2023-11-10,Panthers,,• Deion Jones,"fined $6,472 by NFL for unsportsmanlike conduct"
2023-11-10,Patriots,,• Matthew Slater / Matt Slater,"fined $14,819 by NFL for blindside block"
2023-11-10,Raiders,,• Josh Jacobs,"fined $21,855 by NFL for impermissible use of the helmet"
2023-11-10,Texans,,• M.J. Stewart,"fined $13,971 by NFL for unsportsmanlike conduct"
2023-11-11,49ers,,• Drake Jackson,placed on IR with knee injury
2023-11-11,Cardinals,• James Conner,,activated from IR
2023-11-11,Giants,• Azeez Ojulari,,activated from IR
2023-11-11,Jaguars,• Gregory Junior,,activated from IR
2023-11-11,Saints,• Adam Prentice,,activated from IR
2023-11-11,Seahawks,• Dareke Young,,activated from IR
2023-11-11,Seahawks,• Kenny McIntosh,,activated from IR
2023-11-11,Texans,,• Ka'imi Fairbairn,placed on IR with quadriceps injury
2023-11-11,Texans,• Derek Stingley Jr.,,activated from IR
2023-11-11,Titans,,• Nicholas Petit-Frere,placed on IR with shoulder injury
2023-11-12,Steelers,,• Kwon Alexander,torn left Achilles tendon (out for season)
2023-11-13,Chargers,,• Chris Rumph II,fractured foot (out indefinitely)
2023-11-13,Giants,• Chris Myarick,,activated from IR
2023-11-14,Browns,,• Nick Chubb,surgery on left knee to repair torn ACL (second surgery)
2023-11-14,Dolphins,• River Cracraft,,activated from IR
2023-11-14,Lions,,• Halapoulivaati Vaitai,placed on IR with back injury
2023-11-14,Rams,• Hunter Long,,activated from IR
2023-11-14,Steelers,,• Kwon Alexander,placed on IR with torn left Achilles tendon (out for season)
2023-11-14,Texans,,• Denzel Perryman,suspended by NFL for 3 games (later reduced to 2 games) for repeated violation of health and safety rules (impermissible use of the helmet)
2023-11-14,Vikings,,• Jordan Hicks (b. 1992-06-27),placed on IR with bruised shin
2023-11-14,Broncos,• Kareem Jackson,,reinstated from suspension
2023-11-14,Titans,• Taylor Stallworth,,activated from IR
2023-11-15,49ers,,• Nick Zakelj,placed on IR with torn biceps
2023-11-15,Browns,,• Deshaun Watson,placed on IR with fracture in right shoulder
2023-11-15,Chargers,,• Chris Rumph II,placed on IR with fractured foot
2023-11-15,Titans,,• Chance Campbell,placed on IR with undisclosed injury
2023-11-16,Bengals,• Charlie Jones (b. 1998-10-29),,activated from IR
2023-11-16,Eagles,,• Nakobe Dean,surgery on foot to repair Lisfranc injury (date approximate)
2023-11-16,Texans,,• Denzel Perryman,earlier suspension reduced by NFL from 3 games to 2 games
2023-11-16,Eagles,,• Nakobe Dean,placed on IR with Lisfranc injury in foot (surgery)
2023-11-16,Texans,,• Denzel Perryman,placed on reserve/suspended list
2023-11-17,Bengals,,• Chidobe Awuzie,"fined $10,927 by NFL for unsportsmanlike conduct"
2023-11-17,Bengals,,• Joe Burrow,right wrist injury (surgery) (out)
2023-11-17,Bengals,,• Stanley Morgan Jr.,"fined $43,709 by NFL for impermissible use of the helmet"
2023-11-17,Browns,,• Cedric Tillman (b),"fined $5,667 by NFL for blindside block"
2023-11-17,Buccaneers,,• Calijah Kancey,"fined $14,460 by NFL for roughing the passer"
2023-11-17,Buccaneers,,• William Gholston,"fined $10,927 by NFL for roughing the passer"
2023-11-17,Chargers,,• Derwin James Jr.,"fined $43,710 by NFL for hit to a defenseless receiver"
2023-11-17,Commanders,,• Emmanuel Forbes,"fined $15,563 by NFL for helmet to helmet hit"
2023-11-17,Cowboys,,• Neville Gallimore,"fined $9,754 by NFL for kicking"
2023-11-17,Falcons,,• Richie Grant,"fined $12,528 by NFL for hit to a defenseless receiver"
2023-11-17,Jaguars,,• Devin Lloyd,"fined $10,927 by NFL for facemask"
2023-11-17,Jaguars,,• Foyesade Oluokun / Foye Oluokun,"fined $16,391 by NFL for horse collar tackle"
2023-11-17,Lions,,• Kalif Raymond,"fined $15,138 by NFL for impermissible use of the helmet"
2023-11-17,Packers,,• Zach Tom,"fined $5,534 by NFL for late hit"
2023-11-17,Panthers,,• Deion Jones,"fined $6,472 by NFL for unsportsmanlike conduct"
2023-11-17,Patriots,,• Jahlani Tavai,"fined $10,463 by NFL for helmet to helmet hit"
2023-11-17,Patriots,,• Mack Wilson,"fined $8,861 by NFL for impermissible use of the helmet"
2023-11-17,Raiders,,• Josh Jacobs,"fined $21,855 by NFL for impermissible use of the helmet"
2023-11-17,Ravens,,• Mark Andrews,fractured fibula in leg (out indefinitely)
2023-11-17,Ravens,,• Odell Beckham Jr.,"fined $10,927 by NFL for taunting"
2023-11-17,Ravens,,• Ronnie Stanley,"fined $21,855 by NFL for late hit"
2023-11-17,Saints,,• Alontae Taylor,"fined $9,097 by NFL for impermissible use of the helmet"
2023-11-17,Saints,,• Carl Granderson,"fined $16,391 by NFL for roughing the passer"
2023-11-17,Saints,,• Paulson Adebo,"fined $7,644 by NFL for hit to a defenseless receiver"
2023-11-17,Saints,,• Tyrann Mathieu,"fined $10,927 by NFL for facemask"
2023-11-17,Steelers,,• Nick Herbig,"fined $5,101 by NFL for blindside block"
2023-11-17,Texans,,• Will Anderson Jr.,"fined $1,639 by NFL for roughing the passer"
2023-11-17,Titans,,• Azeez Al-Shaair,"fined $10,927 by NFL for facemask"
2023-11-18,49ers,• Darrell Luter Jr.,,activated from reserve/physically unable to perform list
2023-11-18,Bears,• Khalil Herbert,,activated from IR
2023-11-18,Browns,• Michael Dunn,,activated from IR
2023-11-18,Cowboys,,• Viliami Fehoko Jr.,placed on IR with knee injury
2023-11-18,Dolphins,• De'Von Achane,,activated from IR
2023-11-18,Eagles,• Cam Jurgens,,activated from IR
2023-11-18,Jaguars,,• Jamal Agnew,"placed on IR with shoulder, ribs injuries / various injuries"
2023-11-18,Jaguars,• Parker Washington,,activated from IR
2023-11-18,Panthers,• Ian Thomas (c),,activated from IR
2023-11-18,Rams,• Bobby Brown III,,activated from IR
2023-11-18,Steelers,,• Keanu Neal,placed on IR with rib injury
2023-11-18,Steelers,• Pat Freiermuth,,activated from IR
2023-11-18,Texans,,• Grayland Arnold,placed on IR with calf injury
2023-11-18,Titans,• Mike Brown (b. 1999-04-07),,activated from IR
2023-11-18,Vikings,• Nick Mullens,,activated from IR
2023-11-20,Bengals,,• Jaxson Kirkland,placed on practice squad IR with wrist injury
2023-11-20,Broncos,,• Kareem Jackson,suspended by NFL for 4 games for repeated violations of playing rules intended to protect the health and safety of players
2023-11-20,Cardinals,,• Kyzir White,biceps injury (out for season)
2023-11-20,Commanders,,• Efe Obada,placed on IR with fractured right leg
2023-11-20,Falcons,,• Jacob Saylors,placed on practice squad IR with undisclosed injury
2023-11-20,Steelers,,• Elijah Riley,placed on IR with ankle injury
2023-11-20,Vikings,,• Dean Lowry,placed on IR with torn pectoral muscle
2023-11-20,Vikings,• Chris Reed (b. 1992-07-22),,activated from reserve/non-football injury list
2023-11-20,Commanders,• Troy Apke,,activated from IR
2023-11-21,49ers,,• Talanoa Hufanga,placed on IR with torn ACL in right knee
2023-11-21,Browns,,• Deshaun Watson,surgery on right shoulder to repair fracture (out indefinitely)
2023-11-21,Browns,,• Rodney McLeod Jr.,placed on IR with torn biceps
2023-11-21,Cardinals,,• Kyzir White,placed on IR with torn biceps
2023-11-21,Cardinals,,• Leki Fotu,placed on IR with hand injury
2023-11-21,Chargers,,• Tanner Muse,placed on IR with knee injury
2023-11-21,Dolphins,,• Salvon Ahmed,placed on IR with foot injury
2023-11-21,Saints,,• Michael Thomas (William),placed on IR with knee injury
2023-11-22,Broncos,,• Kareem Jackson,placed on reserve/suspended list
2023-11-22,Buccaneers,,• Rakim Jarrett,placed on IR with undisclosed
2023-11-22,Chargers,,• Joey Bosa,placed on IR with sprained foot
2023-11-22,Commanders,,• De'Jon Harris,placed on IR with quadriceps injury
2023-11-22,Packers,,• Emanuel Wilson,placed on IR with shoulder injury
2023-11-22,Packers,,• Luke Musgrave,placed on IR with lacerated kidney
2023-11-22,Panthers,,• Austin Corbett,placed on IR with knee injury
2023-11-22,Panthers,,• Dicaprio Bootle,placed on IR with knee injury
2023-11-23,49ers,• Samuel Womack,,activated from IR
2023-11-23,Commanders,• Cody Barton,,activated from IR
2023-11-23,Jets,• Duane Brown,,activated from IR
2023-11-23,Panthers,,• Derek Wright,placed on practice squad IR with undisclosed injury
2023-11-23,Seahawks,,• Jerrick Reed II,placed on IR with torn ACL in knee
2023-11-23,Seahawks,• Coby Bryant,,activated from IR
2023-11-23,Texans,,• Dylan Horton,placed on reserve/non-football illness list with undisclosed
2023-11-24,49ers,,• George Odum,torn biceps (out for season)
2023-11-24,Bills,,• Dion Dawkins,"fined $10,927 by NFL for unsportsmanlike conduct"
2023-11-24,Browns,,• Rodney McLeod Jr.,"fined $7,319 by NFL for helmet to helmet hit"
2023-11-24,Chargers,,• Austin Johnson (Hunter),"fined $10,927 by NFL for unnecessary roughness"
2023-11-24,Dolphins,,• Elijah Campbell,"fined $5,611 by NFL for unnecessary roughness"
2023-11-24,Eagles,,• Jalen Carter,"fined $11,473 by NFL for unnecessary roughness"
2023-11-24,Jets,,• Ahmad Gardner / Sauce Gardner,"fined $10,927 by NFL for hit to a defenseless receiver"
2023-11-24,Jets,,• Jeremy Ruckert,"fined $6,370 by NFL for impermissible use of the helmet"
2023-11-24,Lions,,• Amon-Ra St. Brown,"fined $43,709 by NFL for blindside block"
2023-11-24,Panthers,,• Amare Barno,"fined $5,091 by NFL for horse collar tackle"
2023-11-24,Panthers,,• Tommy Tremble,"fined $6,532 by NFL for low block"
2023-11-24,Panthers,,• Xavier Woods (a),"fined $16,391 by NFL for horse collar tackle"
2023-11-24,Raiders,,• Nate Hobbs,"fined $5,643 by NFL for unnecessary roughness"
2023-11-24,Ravens,,• Odafe Oweh / Jayson Oweh,"fined $10,927 by NFL for facemask"
2023-11-24,Seahawks,,• Devon Witherspoon,"fined $10,927 by NFL for unnecessary roughness"
2023-11-24,Steelers,,• Alex Highsmith,"fined $16,391 by NFL for roughing the passer"
2023-11-24,Steelers,,• Patrick Peterson,"fined $10,927 by NFL for facemask"
2023-11-25,Bengals,,• Joe Burrow,placed on IR with right wrist injury (surgery)
2023-11-25,Bengals,• Chase Brown (b. 2000-03-21),,activated from IR
2023-11-25,Browns,• Jordan Kunaszyk,,activated from IR
2023-11-25,Chiefs,,• Mecole Hardman,placed on IR with thumb injury
2023-11-25,Dolphins,,• Jaelan Phillips,torn right Achilles tendon (out for season)
2023-11-25,Eagles,• Quez Watkins,,activated from IR
2023-11-25,Giants,• Eric Gray,,activated from IR
2023-11-25,Raiders,• Roderic Teamer,,activated from IR
2023-11-25,Rams,• Jason Taylor II,,activated from IR
2023-11-25,Rams,• Kyren Williams,,activated from IR
2023-11-25,Ravens,,• Mark Andrews,placed on IR recovering from surgery on left ankle
2023-11-25,Saints,,• Marshon Lattimore,placed on IR with ankle injury
2023-11-25,Texans,• Juice Scruggs,,activated from IR
2023-11-25,Titans,,• Chris Hubbard,placed on IR with biceps injury
2023-11-27,49ers,,• George Odum,placed on IR with torn biceps
2023-11-27,49ers,• Robert Beal Jr.,,activated from IR
2023-11-27,Bengals,,• Joe Burrow,surgery on right wrist (out for season)
2023-11-27,Jaguars,,• Cam Robinson,placed on IR with left knee injury
2023-11-27,Texans,• Denzel Perryman,,activated from reserve/suspended list
2023-11-28,Dolphins,,• Jaelan Phillips,placed on IR with torn right Achilles tendon (out for season)
2023-11-28,Rams,,• Duke Shelley,placed on IR with hamstring injury
2023-11-28,Texans,• Charlie Heck,,activated from reserve/physically unable to perform list
2023-11-28,Vikings,• Justin Jefferson,,activated from IR
2023-11-28,Browns,• Thomas Graham Jr.,,activated from IR
2023-11-28,Giants,• Tommy Sweeney,,activated from reserve/non-football injury list
2023-11-29,Panthers,,• Chandler Zavala,placed on IR with knee injury
2023-11-29,Texans,,• Tytus Howard,placed on IR with surgery on knee
2023-11-30,Panthers,,• Laviska Shenault Jr.,placed on IR with ankle injury
2023-11-30,Seahawks,,• Phil Haynes,placed on IR with toe injury
2023-11-30,Seahawks,• Abraham Lucas,,activated from IR
2023-11-30,Cardinals,• Zach Ertz,,activated from IR
2023-12-01,Buccaneers,,• Mike Greene (b. 1999-05-03),placed on IR with calf injury
2023-12-01,Chiefs,,• Justin Watson (b),"fined $6,833 by NFL for taunting"
2023-12-01,Falcons,,• DeMarcco Hellams,"fined $4,314 by NFL for hit to a defenseless receiver"
2023-12-01,Giants,,• Carter Coughlin,"fined $5,764 by NFL for taunting"
2023-12-01,Giants,,• Xavier McKinney,"fined $13,659 by NFL for unsportsmanlike conduct"
2023-12-01,Jets,,• Quinton Jefferson,"fined $11,611 by NFL for unnecessary roughness"
2023-12-01,Seahawks,,• Stone Forsythe,"fined $5,454 by NFL for unnecessary roughness"
2023-12-01,Steelers,,• Damontae Kazee,"fined $11,806 by NFL for hit to a defenseless receiver"
2023-12-01,Browns,,• Michael Woods II / Mike Woods,suspended by NFL for 6 games for violating the league's personal conduct policy
2023-12-01,Browns,,• Michael Woods II / Mike Woods,placed on reserve/suspended list
2023-12-02,Broncos,• Brandon Johnson (b. 1998-07-26),,activated from IR
2023-12-02,Jets,• Wes Schweitzer,,activated from IR
2023-12-02,Packers,• Darnell Savage,,activated from IR
2023-12-02,Panthers,• Jaycee Horn,,activated from IR
2023-12-02,Panthers,• Jeremy Chinn,,activated from IR
2023-12-02,Panthers,• Yetur Gross-Matos,,activated from IR
2023-12-03,Texans,,• Nathaniel Dell / Tank Dell,fractured fibula in leg (out indefinitely)
2023-12-04,Bengals,,• Cam Taylor-Britt,"placed on IR with ankle, quadriceps injuries"
2023-12-04,Titans,,• Ryan Stonehouse,surgery on knee (out for season)
2023-12-04,Colts,• Grover Stewart,,reinstated from suspension
2023-12-04,Colts,• Grover Stewart,,activated from reserve/suspended list
2023-12-05,Chargers,• J.T. Woods,,activated from reserve/non-football injury list
2023-12-05,Jets,,• Tanzel Smart,placed on practice squad IR with undisclosed injury
2023-12-05,Lions,,• Alim McNeill,placed on IR with sprained knee
2023-12-05,Texans,,• Jared Wayne,placed on practice squad IR with undisclosed injury
2023-12-05,Texans,,• Nathaniel Dell / Tank Dell,placed on IR with fractured fibula in leg
2023-12-05,Commanders,• Drew White (a),,activated from reserve/physically unable to perform list
2023-12-05,Jaguars,• Leonard Taylor,,activated from IR
2023-12-06,Colts,,• Al-Quadin Muhammad,suspended by NFL for 6 games for violating the league's substance abuse policy
2023-12-06,Cowboys,,• Sean McKeon,placed on IR with ankle injury
2023-12-06,Cowboys,• Peyton Hendershot,,activated from IR
2023-12-06,Jets,,• C.J. Uzomah,placed on IR with MCL injury in knee
2023-12-06,Saints,,• Malcolm Roach,placed on IR with knee injury
2023-12-06,Saints,,• Marcus Maye,placed on IR with shoulder injury
2023-12-08,49ers,,• Demetrius Flannigan-Fowles,"fined $9,940 by NFL for unsportsmanlike conduct"
2023-12-08,49ers,,• Dre Greenlaw,"fined $10,927 by NFL for unsportsmanlike conduct"
2023-12-08,Broncos,,• Dwayne Washington,"fined $6,472 by NFL for unsportsmanlike conduct"
2023-12-08,Browns,,• David Njoku,"fined $16,391 by NFL for tripping"
2023-12-08,Chiefs,,• Isiah Pacheco,"fined $4,943 by NFL for fighting"
2023-12-08,Chiefs,• Nick Bolton,,activated from IR
2023-12-08,Cowboys,,• Markquese Bell,"fined $4,861 by NFL for unnecessary roughness"
2023-12-08,Eagles,,• Jalen Carter,"fined $16,937 by NFL for late hit"
2023-12-08,Falcons,,• Kaden Elliss,"fined $10,927 by NFL for late hit"
2023-12-08,Jaguars,,• Christian Kirk (Davon),placed on IR with core muscle injury
2023-12-08,Jaguars,,• Roy Robertson-Harris,"fined $10,927 by NFL for unsportsmanlike conduct"
2023-12-08,Lions,,• Bruce Irvin,"fined $7,766 by NFL for roughing the passer"
2023-12-08,Lions,,• Kerby Joseph,"fined $6,230 by NFL for unsportsmanlike conduct"
2023-12-08,Panthers,,• Brian Burns,"fined $11,473 by NFL for fighting"
2023-12-08,Saints,,• Adam Prentice,"fined $5,222 by NFL for chop block"
2023-12-08,Seahawks,,• Jamal Adams,"fined $10,927 by NFL for late hit"
2023-12-08,Seahawks,,• Quandre Diggs,"fined $10,927 by NFL for taunting"
2023-12-08,Steelers,,• Elandon Roberts,"fined $21,855 by NFL for hit to a defenseless receiver"
2023-12-08,Titans,,• Amani Hooker,"fined $13,659 by NFL for excessive celebration"
2023-12-08,Titans,,• Joe Jones (Edwin),placed on IR with finger injury
2023-12-08,Titans,,• K'Von Wallace,"fined $5,611 by NFL for taunting"
2023-12-08,Titans,,• Ryan Stonehouse,placed on IR with surgery on knee (out for season)
2023-12-08,Vikings,,• Wes Phillips,offensive coordinator arrested on suspicion of DUI
2023-12-08,Chiefs,,• Justyn Ross,suspended by NFL for 6 games for violating the league's personal conduct policy (including previous 5 games spent on exempt/commissioner permission list)
2023-12-09,49ers,,• Ray-Ray McCloud,placed on IR with rib injury
2023-12-09,Bills,• Dawson Knox,,activated from IR
2023-12-09,Browns,• Cameron Mitchell,,activated from IR
2023-12-09,Chargers,,• Zack Bailey,placed on IR with back injury
2023-12-09,Chiefs,,• Bryan Cook (b),placed on IR with ankle injury
2023-12-09,Dolphins,,• Alexander Johnson / A.J. Johnson,placed on practice squad IR with undisclosed injury
2023-12-09,Dolphins,,• Jerome Baker,placed on IR with knee injury
2023-12-09,Jets,,• Wes Schweitzer,placed on IR with calf injury
2023-12-09,Raiders,• Kana'i Mauga,,activated from IR
2023-12-09,Saints,,• Nick Saldiveri,placed on IR with shoulder injury
2023-12-11,Browns,,• Dawand Jones,surgery on knee (out for season)
2023-12-11,Chargers,,• Justin Herbert,fractured right index finger (surgery) (out for season)
2023-12-11,Giants,• Tyrod Taylor,,activated from IR
2023-12-11,Rams,,• Hunter Long,MCL injury in knee (surgery) (out for season)
2023-12-11,Chiefs,• Justyn Ross,,reinstated from suspension
2023-12-12,Browns,,• Dawand Jones,placed on IR with surgery on knee (out for season)
2023-12-12,Browns,,• Maurice Hurst Jr. / Maurice Hurst II (Roy),placed on IR with torn pectoral muscle
2023-12-12,Chargers,• Joshua Palmer / Josh Palmer,,activated from IR
2023-12-12,Chiefs,,• Gerrit Prince,placed on practice squad IR with undisclosed injury
2023-12-12,Dolphins,,• Connor Williams,torn ACL in left knee (out for season)
2023-12-12,Raiders,,• Kana'i Mauga,placed on IR with knee injury
2023-12-12,Rams,,• Alex Ward,placed on IR with stinger in neck
2023-12-12,Rams,,• Hunter Long,placed on IR with MCL injury in knee (surgery) (out for season)
2023-12-12,Ravens,• Damarion Williams,,activated from IR
2023-12-12,Chargers,,• Justin Herbert,surgery on right index finger to repair fracture (out for season)
2023-12-12,Chargers,,• Justin Herbert,placed on IR recovering from surgery to repair fractured right index finger (out for season)
2023-12-13,,• Rolando McClain,,reinstated from suspension
2023-12-13,Bears,,• Yannick Ngakoue,placed on IR with fractured ankle
2023-12-13,Bills,• Justin Shorter,,activated from IR
2023-12-13,Browns,,• Grant Delpit,placed on IR with groin injury
2023-12-13,Dolphins,,• Connor Williams,placed on IR with torn ACL in left knee (out for season)
2023-12-13,Ravens,,• Devin Duvernay,placed on IR with back injury
2023-12-13,Titans,,• Kristian Fulton,placed on IR with hamstring injury
2023-12-13,Titans,,• Kyle Peko,placed on IR with calf injury
2023-12-14,Commanders,,• Jamin Davis,placed on IR with surgery on shoulder
2023-12-15,49ers,,• Deommodore Lenoir,"fined $5,617 by NFL for his role in a fight before game"
2023-12-15,49ers,,• Fred Warner,"fined $5,617 by NFL for his role in a fight before game"
2023-12-15,Bengals,,• Trey Hendrickson,"fined $21,855 by NFL for roughing the passer"
2023-12-15,Bills,,• Cameron Lewis / Cam Lewis,"fined $6,305 by NFL for unsportsmanlike conduct"
2023-12-15,Broncos,,• Jonathon Cooper,"fined $5,362 by NFL for excessive celebration"
2023-12-15,Broncos,,• Josey Jewell,"fined $13,659 by NFL for excessive celebration"
2023-12-15,Browns,,• Myles Garrett,"fined $25,000 by NFL for verbally abusing officials"
2023-12-15,Chargers,,• Alohi Gilman,"fined $5,872 by NFL for unsportsmanlike conduct"
2023-12-15,Chiefs,,• Patrick Mahomes,"fined $50,000 by NFL for verbally abusing officials"
2023-12-15,Commanders,,• Curtis Hodges,placed on IR with back injury
2023-12-15,Dolphins,,• Bradley Chubb,"fined $13,659 by NFL for unsportsmanlike conduct"
2023-12-15,Eagles,,• Eli Ricks,"fined $4,185 by NFL for helmet to helmet hit"
2023-12-15,Eagles,,• Reed Blankenship,"fined $4,843 by NFL for hit to the head of opposing player"
2023-12-15,Lions,,• Alex Anzalone,"fined $10,927 by NFL for late hit"
2023-12-15,Packers,,• Anthony Johnson Jr.,"fined $4,283 by NFL for unnecessary roughness"
2023-12-15,Panthers,,• Hayden Hurst,placed on IR with concussion
2023-12-15,Panthers,,• Justin McCray,placed on IR with calf injury
2023-12-15,Patriots,,• Brenden Schooler,"fined $4,861 by NFL for late hit"
2023-12-15,Raiders,,• Brandon Bolden,"fined $15,666 by NFL for unsportsmanlike conduct"
2023-12-15,Rams,,• Demarcus Robinson,"fined $6,472 by NFL for excessive celebration"
2023-12-15,Rams,,• Kyren Williams,"fined $5,264 by NFL for low block"
2023-12-15,Ravens,,• Marcus Williams (Alan),"fined $6,472 by NFL for hit to a defenseless receiver"
2023-12-15,Seahawks,,• D.K. Metcalf,"fined $19,123 by NFL for his role in brawl"
2023-12-15,Seahawks,,• DeeJay Dallas,"fined $6,297 by NFL for late hit"
2023-12-15,Texans,,• Will Anderson Jr.,"fined $16,391 by NFL for roughing the passer"
2023-12-15,Titans,,• Amani Hooker,"fined $21,855 by NFL for helmet to helmet hit"
2023-12-16,Cardinals,• Elijah Wilkinson,,activated from IR
2023-12-16,Falcons,,• Kentavius Street,placed on IR with pectoral injury
2023-12-16,Falcons,• LaCale London,,activated from IR
2023-12-16,Giants,• Darren Waller,,activated from IR
2023-12-16,Jaguars,• Jamal Agnew,,activated from IR
2023-12-16,Jets,,• Zaire Barnes,placed on IR with hamstring injury
2023-12-16,Packers,• Eric Stokes (Jamane),,activated from IR
2023-12-16,Texans,,• Tavierre Thomas,placed on IR with hamstring injury
2023-12-16,Texans,• Ka'imi Fairbairn,,activated from IR
2023-12-18,Bengals,,• D.J. Ivey,placed on IR with knee injury
2023-12-18,Bengals,,• D.J. Reader,placed on IR with quadriceps injury
